max_depth,criterion,max_features,class_weight,n_estimators,ccp_alpha,accuracy,precision,recall,f1_score,roc_auc
9,gini,log2,,240,0.0,0.885,0.866,0.879,0.872,0.952
9,gini,log2,,240,0.001,0.878,0.851,0.881,0.866,0.948
9,gini,log2,,240,0.01,0.867,0.835,0.877,0.855,0.939
9,gini,,balanced,240,0.0,0.886,0.868,0.878,0.873,0.952
9,gini,,balanced,240,0.001,0.874,0.846,0.879,0.862,0.943
9,gini,,balanced,240,0.01,0.845,0.807,0.859,0.832,0.921
9,gini,,balanced_subsample,240,0.0,0.886,0.868,0.879,0.873,0.952
9,gini,,balanced_subsample,240,0.001,0.874,0.845,0.879,0.862,0.943
9,gini,,balanced_subsample,240,0.01,0.845,0.806,0.861,0.833,0.923
9,gini,,,240,0.0,0.886,0.869,0.878,0.873,0.952
9,gini,,,240,0.001,0.874,0.846,0.878,0.862,0.943
9,gini,,,240,0.01,0.845,0.808,0.859,0.832,0.922
9,gini,0.5,balanced,240,0.0,0.885,0.867,0.878,0.872,0.952
9,gini,0.5,balanced,240,0.001,0.875,0.846,0.879,0.863,0.945
9,gini,0.5,balanced,240,0.01,0.847,0.803,0.874,0.837,0.93
9,gini,0.5,balanced_subsample,240,0.0,0.885,0.867,0.878,0.872,0.952
9,gini,0.5,balanced_subsample,240,0.001,0.875,0.849,0.877,0.863,0.945
9,gini,0.5,balanced_subsample,240,0.01,0.846,0.803,0.869,0.835,0.93
9,gini,0.5,,240,0.0,0.885,0.867,0.878,0.872,0.952
9,gini,0.5,,240,0.001,0.875,0.847,0.879,0.863,0.945
9,gini,0.5,,240,0.01,0.844,0.801,0.868,0.833,0.929
9,gini,0.8,balanced,240,0.0,0.886,0.868,0.878,0.873,0.952
9,gini,0.8,balanced,240,0.001,0.874,0.847,0.878,0.862,0.943
9,gini,0.8,balanced,240,0.01,0.845,0.807,0.86,0.833,0.926
9,gini,0.8,balanced_subsample,240,0.0,0.886,0.868,0.878,0.873,0.952
9,gini,0.8,balanced_subsample,240,0.001,0.873,0.844,0.879,0.861,0.943
9,gini,0.8,balanced_subsample,240,0.01,0.841,0.801,0.859,0.829,0.925
9,gini,0.8,,240,0.0,0.886,0.868,0.878,0.873,0.952
9,gini,0.8,,240,0.001,0.874,0.846,0.879,0.862,0.943
9,gini,0.8,,240,0.01,0.847,0.804,0.87,0.836,0.927
11,gini,sqrt,balanced,240,0.0,0.886,0.869,0.876,0.873,0.953
11,gini,sqrt,balanced,240,0.001,0.878,0.851,0.883,0.867,0.948
11,gini,sqrt,balanced,240,0.01,0.87,0.841,0.874,0.857,0.941
11,gini,sqrt,balanced_subsample,240,0.0,0.886,0.87,0.877,0.873,0.953
11,gini,sqrt,balanced_subsample,240,0.001,0.878,0.851,0.883,0.867,0.948
11,gini,sqrt,balanced_subsample,240,0.01,0.871,0.843,0.876,0.859,0.94
11,gini,sqrt,,240,0.0,0.886,0.87,0.876,0.873,0.953
11,gini,sqrt,,240,0.001,0.879,0.852,0.883,0.867,0.948
11,gini,sqrt,,240,0.01,0.87,0.84,0.876,0.857,0.939
11,gini,log2,balanced,240,0.0,0.886,0.87,0.876,0.873,0.953
11,gini,log2,balanced,240,0.001,0.878,0.851,0.882,0.866,0.948
11,gini,log2,balanced,240,0.01,0.869,0.838,0.876,0.856,0.941
11,gini,log2,balanced_subsample,240,0.0,0.886,0.87,0.877,0.873,0.953
11,gini,log2,balanced_subsample,240,0.001,0.878,0.851,0.883,0.867,0.948
11,gini,log2,balanced_subsample,240,0.01,0.869,0.839,0.875,0.857,0.939
11,gini,log2,,240,0.0,0.886,0.871,0.876,0.873,0.953
11,gini,log2,,240,0.001,0.878,0.851,0.882,0.866,0.948
11,gini,log2,,240,0.01,0.868,0.84,0.871,0.855,0.94
11,gini,,balanced,240,0.0,0.886,0.872,0.875,0.873,0.952
11,gini,,balanced,240,0.001,0.874,0.848,0.876,0.862,0.943
11,gini,,balanced,240,0.01,0.845,0.805,0.864,0.833,0.917
11,gini,,balanced_subsample,240,0.0,0.886,0.871,0.875,0.873,0.952
11,gini,,balanced_subsample,240,0.001,0.874,0.846,0.878,0.862,0.943
11,gini,,balanced_subsample,240,0.01,0.842,0.801,0.861,0.83,0.914
11,gini,,,240,0.0,0.887,0.872,0.875,0.874,0.952
11,gini,,,240,0.001,0.873,0.846,0.877,0.861,0.943
11,gini,,,240,0.01,0.846,0.809,0.86,0.833,0.92
11,gini,0.5,balanced,240,0.0,0.886,0.871,0.875,0.873,0.952
11,gini,0.5,balanced,240,0.001,0.875,0.847,0.879,0.863,0.945
11,gini,0.5,balanced,240,0.01,0.847,0.807,0.865,0.835,0.929
11,gini,0.5,balanced_subsample,240,0.0,0.886,0.871,0.875,0.873,0.952
11,gini,0.5,balanced_subsample,240,0.001,0.875,0.847,0.879,0.863,0.945
11,gini,0.5,balanced_subsample,240,0.01,0.847,0.808,0.864,0.835,0.929
11,gini,0.5,,240,0.0,0.886,0.871,0.875,0.873,0.952
11,gini,0.5,,240,0.001,0.874,0.847,0.879,0.862,0.945
11,gini,0.5,,240,0.01,0.847,0.808,0.864,0.835,0.93
11,gini,0.8,balanced,240,0.0,0.886,0.872,0.875,0.873,0.952
11,gini,0.8,balanced,240,0.001,0.873,0.844,0.88,0.862,0.943
11,gini,0.8,balanced,240,0.01,0.841,0.801,0.857,0.828,0.926
11,gini,0.8,balanced_subsample,240,0.0,0.886,0.872,0.875,0.873,0.952
11,gini,0.8,balanced_subsample,240,0.001,0.873,0.844,0.879,0.861,0.943
11,gini,0.8,balanced_subsample,240,0.01,0.844,0.808,0.854,0.83,0.926
11,gini,0.8,,240,0.0,0.886,0.871,0.876,0.873,0.952
11,gini,0.8,,240,0.001,0.874,0.845,0.878,0.862,0.943
11,gini,0.8,,240,0.01,0.844,0.808,0.857,0.832,0.925
3,entropy,sqrt,balanced,240,0.0,0.876,0.862,0.86,0.861,0.945
3,entropy,sqrt,balanced,240,0.001,0.872,0.857,0.858,0.857,0.943
3,entropy,sqrt,balanced,240,0.01,0.873,0.859,0.858,0.859,0.942
3,entropy,sqrt,balanced_subsample,240,0.0,0.873,0.856,0.863,0.859,0.944
3,entropy,sqrt,balanced_subsample,240,0.001,0.874,0.857,0.864,0.86,0.944
3,entropy,sqrt,balanced_subsample,240,0.01,0.872,0.848,0.871,0.86,0.943
3,entropy,sqrt,,240,0.0,0.873,0.857,0.86,0.858,0.943
3,entropy,sqrt,,240,0.001,0.873,0.858,0.859,0.859,0.944
3,entropy,sqrt,,240,0.01,0.87,0.848,0.866,0.857,0.943
3,entropy,log2,balanced,240,0.0,0.876,0.857,0.867,0.862,0.944
3,entropy,log2,balanced,240,0.001,0.873,0.857,0.861,0.859,0.944
3,entropy,log2,balanced,240,0.01,0.873,0.854,0.863,0.859,0.943
3,entropy,log2,balanced_subsample,240,0.0,0.874,0.855,0.866,0.86,0.944
3,entropy,log2,balanced_subsample,240,0.001,0.875,0.86,0.86,0.86,0.945
3,entropy,log2,balanced_subsample,240,0.01,0.873,0.855,0.862,0.859,0.943
3,entropy,log2,,240,0.0,0.876,0.859,0.865,0.862,0.944
3,entropy,log2,,240,0.001,0.875,0.861,0.86,0.86,0.945
3,entropy,log2,,240,0.01,0.873,0.856,0.862,0.859,0.944
3,entropy,,balanced,240,0.0,0.856,0.837,0.843,0.84,0.929
3,entropy,,balanced,240,0.001,0.86,0.841,0.849,0.845,0.929
3,entropy,,balanced,240,0.01,0.855,0.827,0.855,0.841,0.928
3,entropy,,balanced_subsample,240,0.0,0.86,0.84,0.849,0.844,0.929
3,entropy,,balanced_subsample,240,0.001,0.857,0.838,0.845,0.842,0.929
3,entropy,,balanced_subsample,240,0.01,0.852,0.821,0.855,0.838,0.928
3,entropy,,,240,0.0,0.856,0.836,0.843,0.84,0.929
3,entropy,,,240,0.001,0.858,0.836,0.849,0.843,0.929
3,entropy,,,240,0.01,0.851,0.82,0.855,0.837,0.928
3,entropy,0.5,balanced,240,0.0,0.864,0.846,0.851,0.849,0.935
3,entropy,0.5,balanced,240,0.001,0.862,0.842,0.853,0.848,0.933
3,entropy,0.5,balanced,240,0.01,0.861,0.838,0.856,0.847,0.933
3,entropy,0.5,balanced_subsample,240,0.0,0.863,0.843,0.853,0.848,0.934
3,entropy,0.5,balanced_subsample,240,0.001,0.865,0.844,0.858,0.851,0.935
3,entropy,0.5,balanced_subsample,240,0.01,0.862,0.84,0.854,0.847,0.933
3,entropy,0.5,,240,0.0,0.865,0.847,0.852,0.849,0.934
3,entropy,0.5,,240,0.001,0.863,0.843,0.854,0.848,0.934
3,entropy,0.5,,240,0.01,0.864,0.845,0.851,0.848,0.934
3,entropy,0.8,balanced,240,0.0,0.855,0.835,0.843,0.839,0.929
3,entropy,0.8,balanced,240,0.001,0.858,0.835,0.85,0.843,0.929
3,entropy,0.8,balanced,240,0.01,0.848,0.813,0.857,0.835,0.928
3,entropy,0.8,balanced_subsample,240,0.0,0.859,0.838,0.848,0.843,0.929
3,entropy,0.8,balanced_subsample,240,0.001,0.861,0.841,0.85,0.846,0.93
3,entropy,0.8,balanced_subsample,240,0.01,0.855,0.824,0.86,0.842,0.928
3,entropy,0.8,,240,0.0,0.861,0.84,0.851,0.845,0.93
3,entropy,0.8,,240,0.001,0.86,0.843,0.846,0.844,0.929
3,entropy,0.8,,240,0.01,0.85,0.819,0.855,0.836,0.928
5,entropy,sqrt,balanced,240,0.0,0.88,0.859,0.875,0.867,0.948
5,entropy,sqrt,balanced,240,0.001,0.879,0.858,0.876,0.867,0.948
5,entropy,sqrt,balanced,240,0.01,0.871,0.843,0.876,0.859,0.942
5,entropy,sqrt,balanced_subsample,240,0.0,0.879,0.858,0.875,0.867,0.949
5,entropy,sqrt,balanced_subsample,240,0.001,0.879,0.858,0.875,0.867,0.949
5,entropy,sqrt,balanced_subsample,240,0.01,0.873,0.843,0.881,0.862,0.944
5,entropy,sqrt,,240,0.0,0.879,0.859,0.873,0.866,0.948
5,entropy,sqrt,,240,0.001,0.878,0.855,0.877,0.866,0.948
5,entropy,sqrt,,240,0.01,0.872,0.845,0.874,0.859,0.943
5,entropy,log2,balanced,240,0.0,0.879,0.857,0.876,0.866,0.948
5,entropy,log2,balanced,240,0.001,0.879,0.859,0.873,0.866,0.948
5,entropy,log2,balanced,240,0.01,0.873,0.852,0.867,0.86,0.942
5,entropy,log2,balanced_subsample,240,0.0,0.879,0.859,0.874,0.866,0.948
5,entropy,log2,balanced_subsample,240,0.001,0.879,0.857,0.875,0.866,0.948
5,entropy,log2,balanced_subsample,240,0.01,0.873,0.844,0.878,0.861,0.942
5,entropy,log2,,240,0.0,0.879,0.857,0.876,0.867,0.948
5,entropy,log2,,240,0.001,0.879,0.858,0.873,0.866,0.948
5,entropy,log2,,240,0.01,0.872,0.85,0.868,0.859,0.943
5,entropy,,balanced,240,0.0,0.874,0.853,0.868,0.86,0.944
5,entropy,,balanced,240,0.001,0.874,0.853,0.867,0.86,0.944
5,entropy,,balanced,240,0.01,0.855,0.809,0.887,0.846,0.931
5,entropy,,balanced_subsample,240,0.0,0.874,0.854,0.867,0.86,0.944
5,entropy,,balanced_subsample,240,0.001,0.874,0.853,0.87,0.861,0.944
5,entropy,,balanced_subsample,240,0.01,0.853,0.806,0.884,0.843,0.931
5,entropy,,,240,0.0,0.874,0.853,0.868,0.861,0.944
5,entropy,,,240,0.001,0.874,0.852,0.871,0.861,0.944
5,entropy,,,240,0.01,0.855,0.808,0.887,0.845,0.931
5,entropy,0.5,balanced,240,0.0,0.876,0.857,0.868,0.862,0.945
5,entropy,0.5,balanced,240,0.001,0.875,0.854,0.869,0.862,0.945
5,entropy,0.5,balanced,240,0.01,0.865,0.833,0.874,0.853,0.934
5,entropy,0.5,balanced_subsample,240,0.0,0.875,0.856,0.868,0.862,0.945
5,entropy,0.5,balanced_subsample,240,0.001,0.875,0.853,0.871,0.862,0.945
5,entropy,0.5,balanced_subsample,240,0.01,0.861,0.828,0.871,0.849,0.935
5,entropy,0.5,,240,0.0,0.876,0.857,0.869,0.863,0.945
5,entropy,0.5,,240,0.001,0.876,0.855,0.87,0.862,0.945
5,entropy,0.5,,240,0.01,0.864,0.833,0.871,0.852,0.934
5,entropy,0.8,balanced,240,0.0,0.874,0.853,0.868,0.86,0.944
5,entropy,0.8,balanced,240,0.001,0.873,0.853,0.867,0.86,0.944
