max_depth,criterian,splitter,max_features,class_weight_o,class_weight_1,ccp_alpha,accuracy,precision,recall,f1_score,roc_auc
3,gini,random,log2,3,6,0.01,0.798,0.814,0.712,0.76,0.828
3,gini,random,log2,4,8,0.0,0.761,0.674,0.903,0.772,0.841
3,gini,random,log2,4,8,0.001,0.722,0.629,0.926,0.749,0.853
3,gini,random,log2,4,8,0.01,0.776,0.685,0.929,0.788,0.857
3,gini,random,log2,5,10,0.0,0.782,0.695,0.912,0.789,0.875
3,gini,random,log2,5,10,0.001,0.766,0.694,0.856,0.766,0.828
3,gini,random,log2,5,10,0.01,0.756,0.663,0.926,0.773,0.863
3,gini,random,,1,2,0.0,0.809,0.761,0.837,0.797,0.89
3,gini,random,,1,2,0.001,0.828,0.797,0.825,0.811,0.895
3,gini,random,,1,2,0.01,0.828,0.781,0.858,0.818,0.865
3,gini,random,,2,4,0.0,0.83,0.806,0.816,0.811,0.899
3,gini,random,,2,4,0.001,0.829,0.776,0.869,0.82,0.904
3,gini,random,,2,4,0.01,0.809,0.761,0.837,0.797,0.854
3,gini,random,,3,6,0.0,0.826,0.773,0.867,0.817,0.9
3,gini,random,,3,6,0.001,0.816,0.787,0.809,0.798,0.879
3,gini,random,,3,6,0.01,0.829,0.776,0.869,0.82,0.85
3,gini,random,,4,8,0.0,0.813,0.754,0.864,0.806,0.875
3,gini,random,,4,8,0.001,0.828,0.801,0.821,0.811,0.9
3,gini,random,,4,8,0.01,0.819,0.756,0.88,0.813,0.854
3,gini,random,,5,10,0.0,0.826,0.8,0.814,0.807,0.901
3,gini,random,,5,10,0.001,0.816,0.754,0.874,0.809,0.881
3,gini,random,,5,10,0.01,0.77,0.675,0.939,0.785,0.863
3,gini,random,0.8,1,2,0.0,0.829,0.776,0.869,0.82,0.906
3,gini,random,0.8,1,2,0.001,0.809,0.761,0.837,0.797,0.883
3,gini,random,0.8,1,2,0.01,0.82,0.809,0.783,0.795,0.869
3,gini,random,0.8,2,4,0.0,0.809,0.754,0.85,0.799,0.898
3,gini,random,0.8,2,4,0.001,0.806,0.759,0.829,0.793,0.882
3,gini,random,0.8,2,4,0.01,0.832,0.805,0.825,0.815,0.901
3,gini,random,0.8,3,6,0.0,0.818,0.782,0.824,0.803,0.887
3,gini,random,0.8,3,6,0.001,0.809,0.761,0.837,0.797,0.879
3,gini,random,0.8,3,6,0.01,0.824,0.802,0.806,0.804,0.868
3,gini,random,0.8,4,8,0.0,0.77,0.675,0.939,0.785,0.895
3,gini,random,0.8,4,8,0.001,0.804,0.755,0.833,0.792,0.878
3,gini,random,0.8,4,8,0.01,0.829,0.776,0.869,0.82,0.865
3,gini,random,0.8,5,10,0.0,0.796,0.717,0.9,0.798,0.884
3,gini,random,0.8,5,10,0.001,0.826,0.8,0.814,0.807,0.885
3,gini,random,0.8,5,10,0.01,0.796,0.717,0.9,0.798,0.85
3,gini,random,0.7,1,2,0.0,0.831,0.8,0.831,0.815,0.903
3,gini,random,0.7,1,2,0.001,0.828,0.801,0.821,0.811,0.899
